聲,呼,等,韻,調,組,攝,單字,多音,组词,原註
端,開,一,東,平,端,通,東,0,,
端,開,一,東,平,端,通,凍,0,,
端,開,一,東,平,端,通,鶇,0,,
透,開,一,東,平,端,通,通,0,,
透,開,一,東,平,端,通,俑,0,,
定,開,一,東,平,端,通,桐,0,,
定,開,一,東,平,端,通,洞,0,,
定,開,一,東,平,端,通,筒,0,,
定,開,一,東,平,端,通,銅,0,,
定,開,一,東,平,端,通,僮,1,,書僮
,,,,,,,僮,1,,僮族
定,開,一,東,平,端,通,童,0,,
定,開,一,東,平,端,通,同,0,,
定,開,一,東,平,端,通,仝,0,,
來,開,一,東,平,來,通,聾,0,,
來,開,一,東,平,來,通,朧,0,,
來,開,一,東,平,來,通,嚨,0,,
來,開,一,東,平,來,通,瓏,0,,
來,開,一,東,平,來,通,籠,0,,
來,開,三,東,平,來,通,隆,0,,
來,開,三,東,平,來,通,窿,0,,
清,開,一,東,平,精,通,聰,0,,
清,開,一,東,平,精,通,囪,0,,
清,開,一,東,平,精,通,蔥,0,,
從,開,一,東,平,精,通,叢,0,,
心,開,三,東,平,精,通,嵩,0,,
知,開,三,東,平,知,通,衷,0,,
知,開,三,東,平,知,通,忠,0,,
知,開,三,東,平,知,通,中,1,,中間
知,開,三,東,去,知,通,中,1,,中獎
徹,開,三,東,平,知,通,忡,0,,
澄,開,三,東,平,知,通,蟲,0,,
澄,開,三,東,平,知,通,沖,0,,
崇,開,三,東,平,莊,通,崇,0,,
章,開,三,東,平,章,通,眾,0,,
章,開,三,東,平,章,通,螽,0,,
章,開,三,東,平,章,通,終,0,,
昌,開,三,東,平,章,通,充,0,,
日,開,三,東,平,日,通,絨,0,,
見,開,一,東,平,見,通,功,0,,
見,開,一,東,平,見,通,工,0,,
見,開,一,東,平,見,通,蚣,0,,
見,開,一,東,平,見,通,公,0,,
見,開,一,東,平,見,通,攻,0,,
見,開,三,東,平,見,通,躬,0,,
見,開,三,東,平,見,通,宮,0,,
見,開,三,東,平,見,通,弓,0,,
溪,開,一,東,平,見,通,空,0,,
溪,開,三,東,平,見,通,穹,0,,
